"acq_date","acq_hour","areaid","collar_id","animaltype"
20170301,0,6,21917,"Moose"
20170301,1,6,21917,"Moose"
20170301,2,6,21917,"Moose"
20170301,3,6,21917,"Moose"
20170301,4,6,21917,"Moose"
20170301,5,6,21917,"Moose"
20170301,6,6,21917,"Moose"
20170301,7,6,21917,"Moose"
20170301,8,6,21917,"Moose"
20170301,9,6,21917,"Moose"
20170301,10,6,21917,"Moose"
20170301,11,6,21917,"Moose"
20170301,12,6,21917,"Moose"
20170301,13,6,21917,"Moose"
20170301,14,6,21917,"Moose"
20170301,15,6,21917,"Moose"
20170301,16,6,21917,"Moose"
20170301,17,6,21917,"Moose"
20170301,18,6,21917,"Moose"
20170301,19,6,21917,"Moose"
20170301,20,6,21917,"Moose"
20170301,21,6,21917,"Moose"
20170301,22,6,21917,"Moose"
20170301,23,6,21917,"Moose"
20170302,0,6,21917,"Moose"
20170302,1,6,21917,"Moose"
20170302,2,6,21917,"Moose"
20170302,3,6,21917,"Moose"
20170302,4,6,21917,"Moose"
20170302,5,6,21917,"Moose"
20170302,6,6,21917,"Moose"
20170302,7,6,21917,"Moose"
20170302,8,6,21917,"Moose"
20170302,9,6,21917,"Moose"
20170302,10,6,21917,"Moose"
20170302,11,6,21917,"Moose"
20170302,12,6,21917,"Moose"
20170302,13,6,21917,"Moose"
20170302,14,6,21917,"Moose"
20170302,15,6,21917,"Moose"
20170302,16,6,21917,"Moose"
20170302,17,6,21917,"Moose"
20170302,18,6,21917,"Moose"
20170302,19,6,21917,"Moose"
20170302,20,7,21917,"Moose"
20170302,21,7,21917,"Moose"
20170302,22,7,21917,"Moose"
20170302,23,7,21917,"Moose"
20170303,0,6,21917,"Moose"
20170303,1,7,21917,"Moose"
20170303,2,6,21917,"Moose"
20170303,3,6,21917,"Moose"
20170303,4,6,21917,"Moose"
20170303,5,6,21917,"Moose"
20170303,6,6,21917,"Moose"
20170303,7,6,21917,"Moose"
20170303,8,6,21917,"Moose"
20170303,9,6,21917,"Moose"
20170303,10,6,21917,"Moose"
20170303,11,6,21917,"Moose"
20170303,12,6,21917,"Moose"
20170303,13,7,21917,"Moose"
20170303,14,7,21917,"Moose"
20170303,15,7,21917,"Moose"
20170303,16,7,21917,"Moose"
20170303,17,7,21917,"Moose"
20170303,18,7,21917,"Moose"
20170303,19,7,21917,"Moose"
20170303,20,7,21917,"Moose"
20170303,21,7,21917,"Moose"
20170303,22,7,21917,"Moose"
20170303,23,7,21917,"Moose"
20170304,0,7,21917,"Moose"
20170304,1,7,21917,"Moose"
20170304,2,7,21917,"Moose"
20170304,3,7,21917,"Moose"
20170304,4,7,21917,"Moose"
20170304,5,7,21917,"Moose"
20170304,6,7,21917,"Moose"
20170304,7,7,21917,"Moose"
20170304,8,7,21917,"Moose"
20170304,9,7,21917,"Moose"
20170304,10,7,21917,"Moose"
20170304,11,7,21917,"Moose"
20170304,12,7,21917,"Moose"
20170304,13,7,21917,"Moose"
20170304,14,7,21917,"Moose"
20170304,15,7,21917,"Moose"
20170304,16,7,21917,"Moose"
20170304,17,6,21917,"Moose"
20170304,18,6,21917,"Moose"
20170304,19,6,21917,"Moose"
20170304,20,6,21917,"Moose"
20170304,21,19,21917,"Moose"
20170304,22,19,21917,"Moose"
20170304,23,19,21917,"Moose"
20170305,0,21,21917,"Moose"
20170305,1,21,21917,"Moose"
20170305,2,28,21917,"Moose"
20170305,3,28,21917,"Moose"
20170305,4,28,21917,"Moose"
20170305,5,28,21917,"Moose"
20170305,6,28,21917,"Moose"
20170305,7,28,21917,"Moose"
20170305,8,24,21917,"Moose"
20170305,9,24,21917,"Moose"
20170305,10,24,21917,"Moose"
20170305,11,24,21917,"Moose"
20170305,12,24,21917,"Moose"
20170305,13,24,21917,"Moose"
20170305,14,24,21917,"Moose"
20170305,15,24,21917,"Moose"
20170305,16,24,21917,"Moose"
20170305,17,24,21917,"Moose"
20170305,18,24,21917,"Moose"
20170305,19,24,21917,"Moose"
20170305,20,28,21917,"Moose"
20170305,21,28,21917,"Moose"
20170305,22,24,21917,"Moose"
20170305,23,24,21917,"Moose"
20170306,0,24,21917,"Moose"
20170306,1,24,21917,"Moose"
20170306,2,24,21917,"Moose"
20170306,3,24,21917,"Moose"
20170306,4,24,21917,"Moose"
20170306,5,24,21917,"Moose"
20170306,6,24,21917,"Moose"
20170306,7,24,21917,"Moose"
20170306,8,24,21917,"Moose"
20170306,9,24,21917,"Moose"
20170306,10,24,21917,"Moose"
20170306,11,24,21917,"Moose"
20170306,12,24,21917,"Moose"
20170306,13,24,21917,"Moose"
20170306,14,24,21917,"Moose"
20170306,15,28,21917,"Moose"
20170306,16,28,21917,"Moose"
20170306,17,24,21917,"Moose"
20170306,18,24,21917,"Moose"
20170306,19,24,21917,"Moose"
20170306,20,24,21917,"Moose"
20170306,21,24,21917,"Moose"
20170306,22,24,21917,"Moose"
20170306,23,24,21917,"Moose"
20170307,0,24,21917,"Moose"
20170307,1,24,21917,"Moose"
20170307,2,24,21917,"Moose"
20170307,3,24,21917,"Moose"
20170307,4,24,21917,"Moose"
20170307,5,28,21917,"Moose"
20170307,6,28,21917,"Moose"
20170307,7,24,21917,"Moose"
20170307,8,24,21917,"Moose"
20170307,9,24,21917,"Moose"
20170307,10,24,21917,"Moose"
20170307,11,24,21917,"Moose"
20170307,12,28,21917,"Moose"
20170307,13,28,21917,"Moose"
20170307,14,28,21917,"Moose"
20170307,15,24,21917,"Moose"
20170307,16,24,21917,"Moose"
20170307,17,24,21917,"Moose"
20170307,18,24,21917,"Moose"
20170307,19,24,21917,"Moose"
20170307,20,24,21917,"Moose"
20170307,21,24,21917,"Moose"
20170307,22,24,21917,"Moose"
20170307,23,24,21917,"Moose"
20170308,0,24,21917,"Moose"
20170308,1,24,21917,"Moose"
20170308,2,24,21917,"Moose"
20170308,3,24,21917,"Moose"
20170308,4,24,21917,"Moose"
20170308,5,24,21917,"Moose"
20170308,6,24,21917,"Moose"
20170308,7,24,21917,"Moose"
20170308,8,24,21917,"Moose"
20170308,9,24,21917,"Moose"
20170308,10,24,21917,"Moose"
20170308,11,24,21917,"Moose"
20170308,12,24,21917,"Moose"
20170308,13,24,21917,"Moose"
20170308,14,24,21917,"Moose"
20170308,15,24,21917,"Moose"
20170308,16,24,21917,"Moose"
20170308,17,24,21917,"Moose"
20170308,18,24,21917,"Moose"
20170308,19,24,21917,"Moose"
20170308,20,24,21917,"Moose"
20170308,21,24,21917,"Moose"
20170308,22,24,21917,"Moose"
20170308,23,24,21917,"Moose"
20170309,0,24,21917,"Moose"
20170309,1,24,21917,"Moose"
20170309,2,24,21917,"Moose"
20170309,3,24,21917,"Moose"
20170309,4,24,21917,"Moose"
20170309,5,24,21917,"Moose"
20170309,6,24,21917,"Moose"
20170309,7,24,21917,"Moose"
20170309,8,24,21917,"Moose"
20170309,9,24,21917,"Moose"
20170309,10,24,21917,"Moose"
20170309,11,24,21917,"Moose"
20170309,12,24,21917,"Moose"
20170309,13,24,21917,"Moose"
20170309,14,24,21917,"Moose"
20170309,15,28,21917,"Moose"
20170309,16,24,21917,"Moose"
20170309,17,24,21917,"Moose"
20170309,18,24,21917,"Moose"
20170309,19,24,21917,"Moose"
20170309,20,24,21917,"Moose"
20170309,21,24,21917,"Moose"
20170309,22,24,21917,"Moose"
20170309,23,24,21917,"Moose"
20170310,0,24,21917,"Moose"
20170310,1,24,21917,"Moose"
20170310,2,24,21917,"Moose"
20170310,3,24,21917,"Moose"
20170310,4,24,21917,"Moose"
20170310,5,24,21917,"Moose"
20170310,6,24,21917,"Moose"
20170310,7,24,21917,"Moose"
20170310,8,24,21917,"Moose"
20170310,9,24,21917,"Moose"
20170310,10,24,21917,"Moose"
20170310,11,24,21917,"Moose"
20170310,12,24,21917,"Moose"
20170310,13,24,21917,"Moose"
20170310,14,24,21917,"Moose"
20170310,15,24,21917,"Moose"
20170310,16,24,21917,"Moose"
20170310,17,24,21917,"Moose"
20170310,18,24,21917,"Moose"
20170310,19,28,21917,"Moose"
20170310,20,24,21917,"Moose"
20170310,21,24,21917,"Moose"
20170310,22,24,21917,"Moose"
20170310,23,24,21917,"Moose"
20170311,0,24,21917,"Moose"
20170311,1,24,21917,"Moose"
20170311,2,24,21917,"Moose"
20170311,3,24,21917,"Moose"
20170311,4,24,21917,"Moose"
20170311,5,24,21917,"Moose"
20170311,6,24,21917,"Moose"
20170311,7,24,21917,"Moose"
20170311,8,24,21917,"Moose"
20170311,9,24,21917,"Moose"
20170311,10,24,21917,"Moose"
20170311,11,24,21917,"Moose"
20170311,12,24,21917,"Moose"
20170311,13,24,21917,"Moose"
20170311,14,24,21917,"Moose"
20170311,15,24,21917,"Moose"
20170311,16,24,21917,"Moose"
20170311,17,24,21917,"Moose"
20170311,18,24,21917,"Moose"
20170311,19,24,21917,"Moose"
20170311,20,24,21917,"Moose"
20170311,21,24,21917,"Moose"
20170311,22,24,21917,"Moose"
20170311,23,24,21917,"Moose"
20170312,0,24,21917,"Moose"
20170312,1,24,21917,"Moose"
20170312,2,24,21917,"Moose"
20170312,3,24,21917,"Moose"
20170312,4,24,21917,"Moose"
20170312,5,24,21917,"Moose"
20170312,6,24,21917,"Moose"
20170312,7,24,21917,"Moose"
20170312,8,24,21917,"Moose"
20170312,9,24,21917,"Moose"
20170312,10,24,21917,"Moose"
20170312,11,24,21917,"Moose"
20170312,12,24,21917,"Moose"
20170312,13,24,21917,"Moose"
20170312,14,24,21917,"Moose"
20170312,15,24,21917,"Moose"
20170312,16,24,21917,"Moose"
20170312,17,24,21917,"Moose"
20170312,18,24,21917,"Moose"
20170312,19,24,21917,"Moose"
20170312,20,24,21917,"Moose"
20170312,21,24,21917,"Moose"
20170312,22,24,21917,"Moose"
20170312,23,24,21917,"Moose"
20170313,0,24,21917,"Moose"
20170313,1,24,21917,"Moose"
20170313,2,24,21917,"Moose"
